City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,Acapulco,MX,16.8634,-99.8901,77.92,86,98,4.74,overcast clouds
358,Yongan,CN,39.6957,113.6871,77.18,46,0,2.84,clear sky
359,Odesskoye,RU,54.2111,72.9651,67.08,77,100,6.85,overcast clouds
360,Nargana,PA,9.4428,-78.5906,78.03,86,100,5.79,overcast clouds
361,Te Anau,NZ,-45.4167,167.7167,41.72,98,100,1.39,light rain
362,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,83,3.65,broken clouds
363,Port-Cartier,CA,50.0334,-66.8654,65.88,87,70,5.41,broken clouds
364,Pauini,BR,-7.7136,-66.9764,78.53,53,89,1.01,overcast clouds
365,Terrell,US,32.736,-96.2753,92.91,48,0,12.66,clear sky
366,Kimbe,PG,-5.5502,150.1429,89.83,55,27,5.97,scattered clouds
367,Voh,NC,-20.9667,164.7,74.82,63,94,8.9,overcast clouds
368,Thongwa,MM,16.7619,96.5278,89.76,59,1,3.44,clear sky
369,Villa Altagracia,DO,18.673,-70.171,73.99,96,44,3.11,scattered clouds
370,Bonavista,CA,48.6499,-53.1147,59.47,93,9,9.22,clear sky
371,Ratnagiri,IN,16.9833,73.3,81.99,79,100,8.86,overcast clouds
372,Narsaq,GL,60.9167,-46.05,40.33,85,15,1.72,few clouds
373,Broken Hill,AU,-31.95,141.4333,60.26,32,6,5.7,clear sky
374,Lasa,IT,46.6166,10.7002,56.7,92,75,2.3,broken clouds
375,Lodja,CD,-3.4833,23.4333,69.64,88,71,2.46,broken clouds
376,Kyren,RU,51.6828,102.1408,65.01,66,76,4.0,broken clouds
377,Dzhebariki-Khaya,RU,62.2167,135.8,84.97,36,10,5.17,clear sky
378,Roma,US,43.2128,-75.4557,70.88,86,40,1.01,scattered clouds
379,Shelburne,CA,44.0787,-80.2041,68.45,88,21,7.7,few clouds
380,Iberia,US,29.9502,-91.7507,78.06,88,0,0.0,clear sky
381,Reo,BF,12.3167,-2.4667,77.0,76,39,12.26,scattered clouds
382,Hasaki,JP,35.7333,140.8333,97.29,78,77,15.95,broken clouds
383,Lazurne,UA,46.084,32.5295,74.19,69,4,3.0,clear sky
384,Mutoko,ZW,-17.397,32.2268,46.26,85,0,2.42,clear sky
385,Belmonte,BR,-15.8631,-38.8828,69.21,79,1,4.5,clear sky
386,Olga,RU,43.7444,135.2892,78.82,68,37,5.95,scattered clouds
387,Miri,MY,4.4148,114.0089,87.94,66,20,2.3,few clouds
388,Desur,IN,12.4333,79.4833,84.69,63,100,1.34,overcast clouds
389,Ust-Maya,RU,60.4167,134.5333,87.31,35,71,2.66,broken clouds
390,Sibolga,ID,1.7427,98.7792,86.5,56,26,4.05,scattered clouds
391,Turka,UA,49.1541,23.0297,62.15,84,91,1.99,overcast clouds
392,Mount Gambier,AU,-37.8333,140.7667,51.62,74,97,7.94,light rain
393,Minudasht,IR,37.2289,55.3747,78.37,89,100,6.91,mist
394,Bull Savanna,JM,17.8868,-77.5902,75.72,85,48,5.32,scattered clouds
395,Platonovka,RU,52.7106,41.952,72.23,68,100,4.05,overcast clouds
396,Rocha,UY,-34.4833,-54.3333,64.42,95,100,8.19,overcast clouds
397,Teguldet,RU,57.3064,88.1667,73.0,48,41,3.96,scattered clouds
398,Taoudenni,ML,22.6783,-3.9836,97.03,6,8,19.08,clear sky
399,Ust-Nera,RU,64.5667,143.2,74.01,39,93,2.08,overcast clouds
400,Upernavik,GL,72.7868,-56.1549,40.32,85,100,1.72,overcast clouds
401,Ubajara,BR,-3.8544,-40.9211,66.25,67,42,3.8,scattered clouds
402,Ajdabiya,LY,30.7554,20.2263,77.11,65,0,6.04,clear sky
403,Provideniya,RU,64.3833,-173.3,44.71,100,100,7.0,light intensity drizzle
404,Mari,BR,-7.06,-35.3194,70.61,94,64,6.67,broken clouds
405,Zaragoza,ES,41.6561,-0.8773,70.02,57,100,12.66,overcast clouds
406,Talnakh,RU,69.4865,88.3972,58.21,60,91,12.95,overcast clouds
407,Saint-Augustin,CA,51.226,-58.6502,56.32,89,58,8.99,broken clouds
408,Northam,GB,51.0333,-4.2167,56.39,93,100,2.46,overcast clouds
409,Zhigansk,RU,66.7697,123.3711,79.02,47,27,4.5,scattered clouds
