City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,Mana,5.6592,-53.7767,77.32,90,100,6.93,GF,2022-07-26 03:09:21
72,Makakilo City,21.3469,-158.0858,84.52,55,40,13.8,US,2022-07-26 03:09:26
73,Khatanga,71.9667,102.5,76.82,35,1,4.56,RU,2022-07-26 03:09:15
74,Kavaratti,10.5669,72.642,81.57,74,25,15.95,IN,2022-07-26 03:07:39
75,Hazorasp,41.3194,61.0742,75.04,42,93,16.73,UZ,2022-07-26 03:09:27
76,Nishihara,26.1842,127.7558,89.26,89,40,8.05,JP,2022-07-26 03:09:27
77,Avarua,-21.2078,-159.775,73.45,60,20,5.75,CK,2022-07-26 03:09:28
78,Sabha,27.0377,14.4283,77.11,34,0,10.92,LY,2022-07-26 03:09:28
79,Grand Gaube,-20.0064,57.6608,67.37,80,2,3.0,MU,2022-07-26 03:09:28
80,Amapa,1.0,-52.0,70.36,100,100,2.19,BR,2022-07-26 03:09:29
81,Cherskiy,68.75,161.3,57.47,40,43,17.25,RU,2022-07-26 03:09:29
82,Vaini,-21.2,-175.2,73.67,66,96,13.06,TO,2022-07-26 03:09:29
83,Wewak,-3.5534,143.6268,84.85,70,62,6.82,PG,2022-07-26 03:09:30
84,Tharad,24.3961,71.6267,78.24,89,100,10.74,IN,2022-07-26 03:09:30
85,Beidao,34.5686,105.8933,83.8,59,61,4.16,CN,2022-07-26 03:09:31
86,Havre-Saint-Pierre,50.2334,-63.5986,64.76,94,100,6.91,CA,2022-07-26 03:09:31
87,General Pico,-35.6566,-63.7568,59.2,92,100,8.19,AR,2022-07-26 03:09:31
88,Cap Malheureux,-19.9842,57.6142,67.46,80,1,3.0,MU,2022-07-26 03:09:32
89,Norman Wells,65.282,-126.8329,75.15,39,31,11.23,CA,2022-07-26 03:10:32
90,Rosario Oeste,-14.8361,-56.4275,73.94,38,3,4.47,BR,2022-07-26 03:10:32
91,Plettenberg Bay,-34.0527,23.3716,54.52,57,0,6.13,ZA,2022-07-26 03:10:33
92,Inongo,-1.95,18.2667,68.83,94,96,6.89,CD,2022-07-26 03:10:33
93,Leshukonskoye,64.8989,45.7622,54.54,68,11,3.33,RU,2022-07-26 03:10:33
94,Kruisfontein,-34.0033,24.7314,46.83,69,0,6.8,ZA,2022-07-26 03:10:34
